lang,text
polish,(Posiedzenie zostało zawieszone o godz. 13.15 i wznowione o 15.00)
polish,(Przewodnicząca wyłączyła mikrofon)
polish,(Przewodniczący: sprawozdanie pana Coelho)
polish,"(Zwraca się do pana posła Helmera, który wyraził odmienną opinię) Może się Pan śmiać, ale nie ma Pan racji."
polish,", na piśmie - Gospodarka Indii to jedna z najszybciej rozwijających się gospodarek świata."
polish,", na piśmie - Jestem podbudowany podejściem wiceprzewodniczącej Komisji/wysokiej przedstawiciel Unii do spraw zagranicznych i polityki bezpieczeństwa: uświadomieniem sobie, że oprócz słów liczą się też czyny."
polish,", na piśmie - Obecne wysokie ceny ropy naftowej mają poważny wpływ na koszty operacyjne rybaków, zmuszając niektórych z nich nawet do zaprzestania działalności. Cieszę się, że w następstwie przyjęcia w tym tygodniu wniosku Parlament wzywa Komisję do wprowadzenia środków awaryjnych, w tym do podniesienia obecnego pułapu pomocy państwa z 30 tysięcy do 60 tysięcy euro na firmę, na okres przejściowy 3 lat."
polish,", na piśmie - Odpowiedzią Komisji na każde widoczne wyzwanie dla UE jest sięganie po bardziej zcentralizowane uprawnienia. W taki sam sposób, jak wtedy, gdy doskonale sprzyjał jej kryzys finansowy i zamiast przyznać się do klęski euro, skorzystała z szansy, by usprawiedliwić zarządzanie gospodarką, tak teraz obawy związane z nagłym napływem migrantów i związane z nim obciążenie niektórych krajów służą do tego, by wzywać do wzmocnienia Schengen z silniej scentralizowanym zarządzaniem."
polish,", na piśmie - Utrzymujące się akty przemocy wobec kościoła koptyjskiego w Egipcie i - szerzej - wobec chrześcijan na Bliskim Wschodzie wymagają natychmiastowej reakcji ze strony Unii Europejskiej."
polish,", na piśmie - W ubiegłych miesiącach tego roku zwracałam się do Komisji Europejskiej w odpowiedzi na doniesienia prasowe dotyczące wywozu odpadów toksycznych z Włoch do Rumunii."
polish,"- Panie Przewodniczący! A więc UE stara się zwiększyć swoje przychody nakładając podatki na ciężarówki? No więc dobrze: pytam brytyjskich wyborców, co myślą o UE, a odpowiedź brzmi przeważnie: ""nie uważam, abyśmy powinni przystąpić”."
polish,...1986 roku i stopienie rdzenia jądrowego w przestarzałej elektrowni jądrowej.
polish,"...i wskazuję, że na mocy art. 3 ust. 2 Regulaminu do czasu zweryfikowania mandatu posła lub wydania orzeczenia dotyczącego ewentualnego sporu oraz pod warunkiem uprzedniego podpisania oświadczania, że nie zajmuje żadnego stanowiska niepołączalnego z wykonywaniem mandatu posła do Parlamentu Europejskiego, pan poseł Dimitrios Droutsas będzie brać udział w posiedzeniach Parlamentu i jego organów zachowując pełnię związanych z tym praw."
polish,25 lat po tragicznej katastrofie Czarnobyl cały czas jest punktem odniesienia dla polityki europejskiej.
polish,60 procent transakcji internetowych w Unii Europejskiej nie dochodzi do skutku głównie ze względu na obawę uczestników transakcji przed nieznanymi systemami prawnymi innych państw członkowskich. W tej sytuacji wielu obywateli UE jest pozbawionych możliwości korzystania z rynku internetowego. Różnice między systemami prawnymi państw członkowskich stanowią w tym przypadku barierę w prawidłowym funkcjonowaniu rynku unijnego.
polish,"A co gorsza, Parlament, aby uciec przed ""szantażem” państw członkowskich, które naturalnie z niechęcią podchodzą do zwiększenia swoich i tak już wysokich składek, ponownie porusza kwestię zasobów własnych UE, czy też mówiąc krótko podatku europejskiego."
polish,"A jednak Barrack Obama nie tylko porzucił swą obietnicę zamknięcia tego straszliwego więzienia, ale zaaprobował obecnie wznowienie procesów wojskowych dla więźniów. To piekielne miejsce musi być niezwłocznie zlikwidowane, a wszyscy obecni więźniowie muszą mieć zagwarantowany sprawiedliwy proces przed sądem powszechnym; wszystkie tajne, stosujące tortury więzienia CIA w Europie muszą być zamknięte, musi się zakończyć wykorzystywanie przez CIA lotniska Shannon w Irlandii dla lotów wojskowych i wydawania więźniów w trybie nadzwyczajnym; trzeba też położyć kres barbarzyństwu kary śmierci."
polish,"A jednak w tym przypadku otwiera się przed Panią niezwykła sfera polityczna dzięki rewolucjom w krajach arabskich, i konieczne jest bardzo jasne określenie roli dyplomacji europejskiej w tej sferze, ponieważ prawdą jest to, że poza szczególnymi cechami każdego kraju wszystko jest ze sobą połączone."
polish,"A najgorsze jest to, że mamy do czynienia z rozporządzeniem, a nie dyrektywą. Rozporządzenia są dużo gorsze od dyrektyw, bo trafiają do brytyjskiego prawa, omijając brytyjski parlament."
polish,"A oczywiście w całej Afryce, gdzie wspomniałam o dwóch krajach, moglibyśmy jednak prowadzić dyskusję o ich dużo większej liczbie, nie tylko o tym, co obecnie ponownie dzieje się w Sudanie i o znaczeniu zapewnienia powstania Sudanu Południowego z możliwie jak najlepszymi szansami odniesienia sukcesu."
polish,A więc jJakie więc będą nasze dalsze działania? Nie wolno nam poprzestawać na tym jednym sprawozdaniu.
polish,"A więc uważamy, że potrzebny nam jest scoping - ograniczenie oddziaływania, aby wyeliminować liczne bariery pozataryfowe - i że to stworzy dla nas właściwy klimat w celu przejścia do faktycznych negocjacji z Japonią. Tak to widzimy."
polish,"A zatem jest to ambitne sprawozdanie, zważywszy na problemy, którymi się w nim zajęto - od praw własności intelektualnej do wzmożonej współpracy między państwami członkowskimi a Komisją. Dlatego pragnę pogratulować sprawozdawczyni zaangażowania i mam nadzieję, że okazując więcej takiej postawy, uda nam się osiągnąć wszystkie cele zaproponowane w strategii Europa 2020."
polish,"A zatem pragnę raz jeszcze podkreślić, że Komisja szanuje Traktat z Lizbony i nie ingeruje w suwerenność państw narodowych. W imieniu pana przewodniczącego Barroso pragnę raz jeszcze podkreślić, że Komisja nie wypowiada osądów politycznych w sprawie podstawowych konstytucyjnych i instytucjonalnych wyborów podejmowanych przez państwa członkowskie."
polish,"A zatem, czy biorąc pod uwagę naturę tych oszustw i ich ogólnounijny i transgraniczny charakter Komisja rozważy wprowadzenie jakiejś formy pomocy prawnej, aby pomóc małym i średnim przedsiębiorstwom w walce z tymi oszustwami? Ten proceder będzie trwał dopóty, dopóki Komisja nie podejmie zdecydowanych działań."
polish,"Absolutnie nie do przyjęcia jest brak kontroli nad technikami klonowania, czy też nad artykułami żywnościowymi będącymi wynikiem stosowania tych technik, przeznaczonymi do konsumpcji przez ludzi."
polish,Absolutorium za rok 2009: Europejskie Wspólne Przedsięwzięcie na rzecz Realizacji Projektu ITER i Rozwoju Energii Termojądrowej (
polish,"Absolutorium zostało udzielone, gdyż Trybunał Obrachunkowy uznał, że sprawozdania roczne agencji są zasadniczo wiarygodne, choć trzeba wziąć pod uwagę i podkreślić pewne uwagi krytyczne."
polish,"Absurdem, i to pod dwoma względami, jest z kolei podatek nakładany na niematerialne dobra kultury."
polish,"Aby Pani pomóc chciałbym zwrócić uwagę, że na Bahamach mamy siedmioro funkcjonariuszy UE. Jakie zdecydowanie istotniejsze dla losu Unii Europejskiej wydarzenia zachodzą na Bahamach w porównaniu do Bagdadu? Czy nie lepszym rozwiązaniem byłoby oddelegowanie 17 osób do Bagdadu, skoro jesteśmy bliscy podpisania pierwszego porozumienia między UE a Irakiem w epoce następującej po reżimie Saddama Husseina? Być może byliby oni w stanie na miejscu rozwiązać dramat obozu Aszraf, ponieważ jestem pewien, że Pani osobista interwencja mogłaby z łatwością doprowadzić do korzystnego rozwiązania?"
polish,"Aby Parlament Europejski mógł precyzyjnie ocenić wszystkie elementy niezbędne do wydania opinii w sprawie gotowości tych dwóch krajów do przystąpienia do obszaru Schengen, musi mieć pełny dostęp do przygotowanych przez ekspertów sprawozdań oceniających w sprawie postępów w przygotowaniach tych dwóch krajów. Jednak w mojej opinii Rumunia i Bułgaria nie dowiodły, że są dostatecznie przygotowane do stosowania w satysfakcjonujący sposób wszystkich przepisów dorobku Schengen."
polish,"Aby UE mogła prowadzić negocjacje z krajami niebędącymi członkami UE, muszą one przestrzegać wspomnianych wyżej zasad."
polish,"Aby cel 3 mógł zostać zrealizowany w jak najlepszy sposób, poprosiliśmy o znaczne zwiększenie ilości funduszy strukturalnych przeznaczanych na ten cel, w szczególności z myślą o poprawie infrastruktury transportu, a tym samym zwiększeniu mobilności europejskich obywateli w regionach i między nimi."
polish,"Aby cele te osiągnąć, dwa ostatnie warunki należy określić w sposób przejrzysty i łatwo zrozumiały. Dana sprawa nierozerwalnie musi wchodzić w zakres kompetencji wielu komisji, i wreszcie, muszą być wskazane praktyczne konsekwencje stosowania tego artykułu dla przebiegu procedury ustawodawczej."
polish,"Aby dalej realizować swe cele, Europa bardziej niż kiedykolwiek potrzebuje pokolenia Europejczyków, którzy się znają i ufają sobie nawzajem, którzy znają Europę i jej ufają. Zatem pozwólmy na udział każdemu, nawet z Faja Grande na Azorach, czyli z najbardziej na zachód wysuniętego krańca Europy."
polish,"Aby inicjatywa przewodnia w ramach strategii UE 2020, jaką jest projekt ""Mobilna młodzież” zakończyła się powodzeniem, instytucje europejskie muszą stworzyć pragmatyczną, wszechstronną i szeroko zakrojoną strategię polityczną, wspieraną przez wszystkie państwa członkowskie, skoncentrowaną na powiązaniu obszarów szkolenia zawodowego, kwalifikacji zawodowych, uczenia się przez całe życie oraz staży zawodowych z rynkiem pracy - tak, aby zapewnić, by każde państwo członkowskie naprawdę wzięło na siebie odpowiedzialność za system szkolnictwa UE. Inicjatywa ""Mobilna młodzież” ma na celu ułatwienie młodym Europejczykom przejścia z etapu kształcenia i szkolenia zawodowego do etapu życia zawodowego."
polish,"Aby iść na kompromis, z jednym się zgadzam, a mianowicie z tym, że pieniądze pobierane z tytułu opłat nakładanych na pojazdy ciężarowe można wydać na transport kolejowy lub wodny."
polish,"Aby jak najszybciej powstrzymać te nieuczciwe działania, Komisja musi sporządzić czarną listę wprowadzających w błąd praktyk stosowanych przez firmy katalogowe i przyjąć stosowne prawodawstwo skupiające się w szczególności na postanowieniach dyrektywy dotyczącej reklamy wprowadzającej w błąd i reklamy porównawczej oraz jej wdrażaniu."
polish,"Aby jednak to osiągnąć, potrzebujemy sprawnych delegatur UE, które będą mogły przejąć te role i zadania, zapewniając wysoką jakość wydatków."
polish,"Aby jednak zrealizować te cele, konieczne będzie uproszczenie programów współpracy terytorialnej, a władze lokalne i obywatele będą musieli bardziej zaangażować się w zachęcanie do poprawy komunikacji poprzez zakrojone na szeroką skalę kampanie medialne i uświadamiające."
polish,"Aby mogły być tak skuteczne, jak tego chcieliśmy, krajowe programy leśne muszą stać się faktem i być rzeczywiście realizowane w lasach."
polish,"Aby móc reagować na stojące przed nami wyzwania, popieramy cele strategii Europa 2020, która powinna pomóc Europie wyjść z kryzysu silniejszą, dzięki tworzeniu miejsc pracy oraz inteligentnemu i zrównoważonemu rozwojowi, sprzyjającemu integracji społecznej."
polish,"Aby móc wprawić w ruch mechanizmy dźwigni, które począwszy od teraz do 2020 roku będą miały formę celów w zakresie badań, efektywności energetycznej i internacjonalizacji, szczególnie w małych i średnich przedsiębiorstwach, musimy zapewnić zdecydowaną wolę polityczną do aktywacji bodźców i mechanizmów orientowania."
polish,"Aby móc zapewnić skuteczną reakcję na te wyzwania, WPR musi być realizowana w ramach rozsądnej polityki gospodarczej i w oparciu o stabilne finansowanie publiczne, przyczyniając się do osiągania celów UE. W przyszłości WPR musi pozostać silną wspólną polityką, która służy zapewnieniu długoterminowego bezpieczeństwa żywnościowego obywateli europejskich."
polish,"Aby naprawić błędy przeszłości, konieczna jest konsolidacja finansowa, która stanowi też warunek trwałego wzrostu gospodarek europejskich napędzanego nie długiem publicznym i zagranicznym, ale działaniami na rzecz zatrudnienia oraz konkurencyjności. W sprawozdaniu skupiono się na tabeli składającej się ze zbioru statystycznych wskaźników makroekonomicznych i strukturalnych, która pozwala na dokonywanie porównań między państwami członkowskimi oraz określenie strukturalnych, krótko-, średnio- i długoterminowych tendencji."
polish,"Aby nim były, ich przedmiotem muszą być konsekwencje gospodarcze, społeczne, środowiskowe i zdrowotne planowanych decyzji politycznych oraz ich wpływ na podstawowe prawa publiczne w całym procesie politycznym."
polish,"Aby obszar Schengen mógł skutecznie funkcjonować, a wyznaczone cele dało się osiągnąć, należy wykluczyć ewentualne negatywne konsekwencje związane ze zniesieniem kontroli na granicach, zwłaszcza jeżeli chodzi o nielegalną imigrację. Każdy kraj, który chce przystąpić do obszaru Schengen, musi, bez wyjątku, spełnić wszystkie warunki wyznaczone w dorobku Schengen i dotyczące ochrony danych, systemu informacyjnego Schengen, granic powietrznych, lądowych i morskich, współpracy policyjnej i wiz."
polish,"Aby osiągnąć cele polityki spójności, ważne jest nie tylko maksymalne wykorzystanie środków dostępnych, ale przede wszystkim ich efektywne wykorzystanie, ograniczenie biurokracji oraz właściwa synergia pomiędzy funduszami."
polish,"Aby osiągnąć przedstawione cele, Komisja musi zyskać szczególną rolę w obszarze oceny, monitorowania i wydawania zaleceń. Dokonując oceny, Komisja i Rada muszą też uwzględniać reformy emerytalne wdrażane przez dane państwo członkowskie."
polish,"Aby osiągnąć te wyniki, musimy jednak działać w pełni w zgodzie z planami ożywienia rynku pracy i polityką ochrony socjalnej, która stanowi kamień węgielny nowego modelu trwałego wzrostu."
polish,"Aby osiągnąć ten cel, musimy wspólnie pracować nad rozwojem prawa międzynarodowego, a nie tylko je interpretować i wdrażać w sposób jednostronny."
polish,Aby ożywić gospodarki państw Bałkanów Zachodnich przyznano im uprzywilejowany dostęp do rynku europejskiego.
polish,"Aby poradzić sobie z kryzysem i wnioskami, które musimy z niego wyciągnąć, potrzebujemy ram nadzoru, i zwłaszcza dzięki Państwu dysponujemy nimi od 1 stycznia."
polish,"Aby postępować zgodnie z zasadami solidarności i wzajemności, dzięki którym ta Europa może żyć, musimy dokonać rewizji wszystkiego, co zdaje się nie przynosić pożądanych efektów, zrewidować umowę Dublin II, o czym już dyskutowaliśmy w Parlamencie, i dzielić ciężary, które każde państwo członkowskie musi ponosić sprawiedliwie, tak abyśmy wszyscy mogli przyczynić się do tego, by to marzenie żyło."
polish,"Aby pozytywny wpływ tych sektorów mógł być zrealizowany, konieczne jest jednak spełnienie dwóch podstawowych warunków. Po pierwsze, musimy wspierać mobilność i atrakcyjność czynników kulturotwórczych, takich jak mobilność artystów, pracowników sektora kultury oraz dzieł sztuki, a po drugie, musimy zapewnić wprowadzenie do sektora kulturalnego określonych polityk finansowania i wsparcia ekonomicznego, takich jak dostęp do funduszy poprzez Europejski Bank Inwestycyjny."
polish,"Aby przeniesienie kompetencji nie zakończyło się dla UE twardym lądowaniem, państwa członkowskie winny mieć nadal możliwość zagwarantowania pewności prawa w okresie przejściowym."
polish,"Aby realizować nasze cele dotyczące najwyższych norm bezpieczeństwa jądrowego, utrzymujemy relacje z Rosją zarówno na poziomie bilateralnym, jak i na forach multilateralnych, takich jak Międzynarodowa Agencja Energii Atomowej i grupa G8."
polish,"Aby rozwiązać gospodarcze problemy XXI wieku, a w szczególności problem rosnącej konkurencji ze strony naszych partnerów handlowych, trzeba zapewnić, aby europejskie systemy kształcenia i szkolenia zawodowego były skuteczniejsze, atrakcyjniejsze i bardziej reakcyjne, co pozwoli lepiej przygotować naszych obywateli do objęcia stanowisk, które czekają."
polish,"Aby standardy socjalne były faktycznie stosowane, potrzebne są nam mechanizmy wykonawcze (obejmujące zachęty i kary). Do wszystkich umów handlowych UE należy włączyć klauzulę socjalną, która będzie prawnie wiążąca. Chcę wyrazić również moją dezaprobatę w związku z tym, że w ustępie 31 sprawozdanie podkreśla się, że nie należy przyjmować żadnej dyrektywy, która egzekwowałaby poszanowanie dla społecznej odpowiedzialności przedsiębiorstw."
polish,"Aby ta eurowinieta nie była wyłącznie podatkiem, ale naprawdę przyczyniła się do poprawy jakości transportu w Europie, zachęca się państwa członkowskie do reinwestowania związanych z nią przychodów w modernizację różnych środków transportu."
polish,"Aby to jednak osiągnąć, będziemy potrzebowali miliona dodatkowych naukowców w sytuacji, gdy wielu spośród nich jest obecnie przyciąganych przez kraje nieeuropejskie, w których funkcjonują mechanizmy likwidowania wąskich gardeł uniemożliwiających trafianie pomysłów na rynek."
polish,"Aby to osiągnąć, konieczne jest wzmocnienie koordynacji w ramach UE, co wymaga silnej woli politycznej oraz elastyczności ze strony państw członkowskich w kwestii ich reprezentacji."
polish,"Aby to osiągnąć, wysoka przedstawiciel powinna ustanowić Dyrekcję Generalną ""Dyplomacja na rzecz kultury” w ramach Europejskiej Służby Działań Zewnętrznych oraz wyznaczyć osobę, która byłaby odpowiedzialna za stosunki kulturalne oraz promowanie kultury europejskiej w każdym z przedstawicielstw UE w państwach trzecich."
polish,"Aby to osiągnąć, wzywamy strony do rozpoczęcia konstruktywnego dialogu w celu pokojowego rozwiązania problemu Abyei, jak również nierozwiązanych dotychczas kwestii, takich jak podział przychodów z ropy, wytyczenie granic i podział zadłużenia. W tym celu UE musi udostępnić obu państwom niezbędne środki na wspieranie świadczeń socjalnych takich jak edukacja, ochrona zdrowia, rolnictwo, bezpieczeństwo zaopatrzenia w żywność i tworzenie potencjału instytucjonalnego."
polish,"Aby to uczynić Europejski Urząd ds. Bezpieczeństwa Żywności i ministerstwa zdrowia państw członkowskich muszą współpracować. Współpraca została spowolniona w wyniku katastrofalnego zarządzania kryzysem przez Niemcy. W tej sytuacji UE nie może zaniedbywać swoich rolników. Musi stworzyć mechanizm szybkiego zrekompensowania im ogólnego, negatywnego wpływu tego kryzysu, który już zagraża przetrwaniu wielu gospodarstw rolnych."
polish,"Aby to zapewnić, musi ona skupić się na nierównościach, szczególnie na obszarach miejskich, które są szczególnie dotknięte tymi nowymi wyzwaniami - społecznymi, środowiskowymi - i to jest ogromne wyzwanie."
polish,"Aby uchronić konsumentów przed niezamierzonym zakupem wyrobów wykonanych z materiałów pochodzenia zwierzęcego (futro i skóra), poparłam przedmiotowe sprawozdanie, które zawiera wymóg obowiązkowego etykietowania poprzez umieszczanie sformułowania ""części nietekstylne pochodzenia zwierzęcego”. Etykieta będzie również chronić przed problemami, które mogą dotyczyć niektórych konsumentów cierpiących na alergie."
polish,"Aby umożliwić europejskim pracownikom dostosowanie się do wymagań zmieniającej się gospodarki, kształcenie i szkolenie zawodowe należy traktować na zasadzie długoterminowego wspólnego priorytetu politycznego."
polish,"Aby uniknąć błędnej interpretacji czy nieporozumień, pozwolę sobie odczytać je po angielsku: ""Niniejszym oświadcza się, że porozumienie osiągnięte pomiędzy Radą a Parlamentem Europejskim w czasie rozmów trójstronnych dnia 23 maja 2011 r. w sprawie dyrektywy Parlamentu Europejskiego i Rady zmieniającej dyrektywę 1999/62/WE w sprawie pobierania opłat za użytkowanie niektórych typów infrastruktury przez pojazdy ciężarowe (eurowinieta) nie przesądza o wyniku międzyinstytucjonalnych negocjacji dotyczących tabel korelacji”."
polish,"Aby uniknąć jeszcze większego rozdrobnienia istniejących przepisów w tym obszarze, poszukiwano ukierunkowanego podejścia do pełnej harmonizacji, to jest harmonizacji ograniczonej do określonych aspektów pewnych umów, przy jednoczesnym utrzymaniu wysokiego poziomu ochrony konsumentów. Wymaga to odpowiedniego dostosowania zakresu wykorzystania. W istocie, oprócz szeregu wyjątków sektorowych w wielu sektorach, dyrektywa ogranicza się do umów zawieranych poza lokalem przedsiębiorstwa, które stanowią coraz większą część umów transgranicznych."
polish,"Aby uniknąć próżni prawnej, w omawianym rozporządzeniu zarządzanie umowami pozostawiono państwom członkowskim."
polish,"Aby utrzymać europejską konkurencyjność, potrzebne jest przyjęcie nowego podejścia, którego głównymi czynnikami napędzającymi będą wzmacnianie potencjału innowacyjnego i zachęcanie coraz większej liczby mieszkańców Europy do przedsiębiorczości. Dlatego też zmieniliśmy Small Business Act, uspójniając go z Aktem o jednolitym rynku, co, między innymi, zapewni synergię z Unią Innowacji."
polish,"Aby uzyskać całościowe porozumienie przed przerwą letnią, trzeba dołożyć wszelkich wysiłków, aby osiągnąć sukces w negocjacjach z Radą w nadchodzących tygodniach, nie wysyłając żadnych sygnałów politycznych, które mogłyby zagrozić pomyślnemu wynikowi końcowemu."
polish,"Aby ułatwić wymianę handlową między UE i Księstwem Andory należy przede wszystkim w odpowiedni sposób wdrażać środki bezpieczeństwa stosowane przez organy celne w odniesieniu do takich kwestii, jak zgłaszanie towarów przed ich wprowadzeniem na obszar celny lub przed ich wyprowadzeniem z obszaru celnego, upoważnienie przedsiębiorców oraz kontrole celne w zakresie bezpieczeństwa i zarządzanie ryzykiem."
polish,"Aby wesprzeć oceny skutków, które będą uzasadnieniem dla tej inicjatywy, Komisja zaproponuje zaostrzenie prawodawstwa UE, w szczególności w taki sposób, aby wzmocnić inspekcje i egzekwowanie rozporządzenia w sprawie wywozu odpadów. To powinno w dużym stopniu zmniejszyć znaczną liczbę przypadków nielegalnego przemieszczania odpadów."
polish,"Aby wprowadzić zmiany energetyczne musimy sprowadzać energię elektryczną z północnych Niemiec do Austrii. Mój ojciec był szefem Voralberger Kraftwerke, spółki energetycznej obsługującej austriacką prowincję Voralberg."
polish,"Aby wyeliminować ewentualne utrudnienia w prawidłowym funkcjonowaniu rynku wewnętrznego wynikające z rozbieżności między przepisami lub praktykami stosowanymi w państwach członkowskich oraz aby nadążyć za rozwojem handlu elektronicznego i sprostać nowym wyzwaniom rynku wyrobów włókienniczych, należy zbadać kwestię harmonizacji i normalizacji innych aspektów etykietowania wyrobów włókienniczych w celu ułatwienia swobodnego przepływu wyrobów włókienniczych na rynku wewnętrznym i osiągnięcia jednolitego wysokiego poziomu ochrony konsumentów w całej UE."
polish,"Aby zagwarantować prawidłowe wdrożenie przepisów rozporządzenia w sprawie zaburzeń równowagi mikroekonomicznej w strefie euro oraz osiągnięcie wytyczonych celów, trzeba stworzyć zróżnicowany system nakładania sankcji. W związku z tym trzeba wprowadzić depozyty oprocentowane w przypadku niestosowania się przez państwo członkowskie do zalecenia dotyczącego podjęcia działań naprawczych wskazanych przez Radę. Depozyty te zostaną przekształcone w roczną grzywnę w przypadku uporczywego niestosowania się do zaleceń. Zgadzam się z wnioskiem, że stawka depozytu oprocentowanego i grzywny powinna być identyczna dla wszystkich państw członkowskich, których walutą jest euro, aby zapewnić równe traktowanie wszystkich państw członkowskich."
polish,"Aby zająć się tym problemem i rozwiązać go, pani komisarz Reding planuje wydanie pod koniec tego roku komunikatu, który będzie zawierał sprawozdanie na temat stanu wdrażania istniejącej dyrektywy dotyczącej reklamy wprowadzającej w błąd i reklamy porównawczej oraz obecnych możliwości jej zmiany, a także ocenę sytuacji."
polish,"Aby zapewnić lepszą integrację i spójność społeczną, w sprawozdaniu wzywa się państwa członkowskie do stworzenia warunków umożliwiających szkolenie takim szczególnym grupom jak bezrobotna młodzież, mniejszości etniczne, kobiety znajdujące się w trudnym położeniu i osoby niepełnosprawne. W sprawozdaniu zaznaczono również, że należy zapewnić rozszerzone, uproszczone i dostępniejsze możliwości finansowania ze środków pochodzących z Europejskiego Funduszu Społecznego, całego programu ""Uczenie się przez całe życie” oraz programu Erasmus skierowanego do młodych przedsiębiorców."
